state,age,gender,education,ideology_general,household_size,sus_1,sus_2,sus_3,re_1,re_2,re_3,sev_1,sev_2,sev_3,se_1,se_2,se_3,mrr_1,mrr_2,mrr_3,rc_1,rc_2,rc_3,proto_caring,proto_informed,proto_dedicated,proto_pushy,proto_stubborn,proto_arrogant,proto_patriotic,proto_responsible,proto_similarity,willingness_1,willingness_2,att_1,att_2,att_3,att_4,att_5,att_6,sn_1,sn_2,sn_3,sn_4,sn_5,int_1,int_2,int_3,beh_1,beh_2,beh_3,feedback
CT Connecticut,29,Male,4 year degree,6,1,2,3,2,3,3,2,3,3,3,4,2,4,4,3,1,2,2,3,0,0,1,0,0,1,0,0,3,2,2,2,4,2,3,3,2,3,2,3,3,3,4,3,3,11,11,NA,NA
GA Georgia,29,Male,2 year degree,6,2,2,1,5,3,4,3,5,5,5,3,2,4,4,4,1,1,2,2,1,1,0,0,0,0,0,1,1,1,5,2,3,2,2,4,2,3,3,3,4,4,3,3,3,11,11,NA,NA
CT Connecticut,66,Male,4 year degree,5,2,3,1,5,2,3,3,3,5,5,3,1,3,5,5,1,3,3,3,1,1,0,0,0,0,1,1,5,2,3,1,5,1,1,5,1,1,1,1,3,3,2,2,2,12,11,NA,No comments.  Thank you.
PA Pennsylvania,25,Male,4 year degree,5,1,1,5,1,2,2,2,1,1,1,2,2,4,5,5,1,4,3,2,1,0,1,0,0,0,0,1,1,1,1,2,5,2,2,4,2,3,3,3,5,5,2,2,2,11,11,NA,NA
TX Texas,27,Male,4 year degree,10,4,1,1,1,1,3,3,3,3,1,2,2,4,2,2,1,2,2,1,0,1,1,0,0,1,0,0,1,2,1,4,4,3,2,2,3,1,1,2,1,1,2,1,2,10,10,10,IT IS VERY INTRESTING SURVEY
GA Georgia,42,Female,4 year degree,3,4,2,4,2,3,3,3,2,2,2,3,3,3,4,4,4,3,3,3,0,1,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,11,11,NA,None
NY New York,28,Female,High school graduate,9,5,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,0,0,0,0,0,5,3,5,1,5,5,1,5,1,1,1,2,1,1,1,2,1,10,10,10,this survey is very nice
ID Idaho,29,Male,Professional degree,9,4,1,1,2,1,1,1,1,3,2,1,5,1,1,1,2,1,3,1,1,0,1,0,0,0,0,1,4,5,5,1,5,1,1,5,1,1,1,1,1,1,1,1,1,10,10,5,NA
NY New York,46,Female,4 year degree,7,4,3,2,3,3,2,3,3,2,3,1,3,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,2,2,3,3,4,2,3,4,4,3,2,2,3,3,3,2,2,10,10,10,good
MN Minnesota,23,Male,High school graduate,5,1,3,3,4,1,4,2,3,4,3,3,2,4,4,4,3,4,3,2,1,1,1,0,0,0,0,1,3,1,1,2,4,2,2,4,2,3,3,3,3,3,4,4,4,11,11,NA,NA
CA California,26,Male,Professional degree,7,3,3,3,4,2,1,1,5,5,1,2,2,2,1,1,3,2,1,1,1,1,1,0,0,0,0,1,4,4,3,1,5,1,1,5,1,1,1,1,1,2,1,1,1,10,10,7,NICE
OH Ohio,26,Female,Some college,2,3,1,5,1,2,1,2,1,1,2,4,1,3,5,5,1,2,1,5,1,1,1,0,0,0,0,1,4,3,2,1,5,1,1,5,1,1,1,1,5,5,2,2,3,12,11,NA,NA
TX Texas,28,Male,Professional degree,9,4,1,2,1,1,2,3,3,4,3,3,4,1,3,2,2,3,3,2,0,0,0,0,0,0,0,1,4,4,5,3,4,4,3,2,3,2,3,4,2,3,3,4,3,10,10,10,GOOD
SC South Carolina,33,Male,4 year degree,1,3,2,1,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,1,0,0,0,1,1,1,1,0,2,4,4,5,5,4,3,4,5,2,2,1,2,2,1,2,2,10,10,5,nice
IN Indiana,25,Female,2 year degree,9,5,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,0,0,0,0,0,0,0,3,3,3,1,5,1,1,5,1,1,1,1,2,2,2,2,2,10,10,10,THIS SURVEY IS VERY NICE
NY New York,38,Female,4 year degree,2,4,2,4,2,5,5,5,3,2,2,2,4,2,4,2,2,2,4,4,1,1,1,0,0,0,0,1,3,1,4,2,4,2,2,4,2,1,2,2,1,1,2,2,2,11,11,NA,NA
TX Texas,27,Male,4 year degree,4,4,1,3,1,2,4,5,2,2,5,3,2,2,2,2,3,1,2,5,0,0,0,0,0,0,0,1,1,3,2,1,5,5,1,1,1,5,3,1,2,1,2,1,2,10,10,NA,good
TX Texas,31,Male,4 year degree,2,1,1,5,1,5,4,4,1,1,1,2,2,4,5,5,4,2,4,2,0,0,1,1,0,0,0,1,3,2,4,2,3,2,1,3,3,2,2,2,5,5,4,4,4,11,11,NA,NA
IL Illinois,38,Female,2 year degree,6,4,2,4,2,2,1,1,1,2,2,3,2,4,5,5,3,3,2,3,1,1,1,0,0,0,0,1,2,2,2,1,5,1,1,5,1,1,1,1,5,5,2,2,2,11,11,NA,NA
MA Massachusetts,65,Male,Professional degree,2,1,4,4,4,4,4,4,3,2,3,4,1,4,4,4,4,2,2,2,0,1,1,0,0,0,0,0,1,1,3,2,4,2,2,4,2,3,3,3,4,4,4,4,4,12,11,NA,n/a
OH Ohio,41,Male,4 year degree,6,5,3,3,3,2,2,2,3,2,3,3,3,3,4,4,3,3,2,3,1,1,1,0,0,0,0,1,3,2,3,1,5,1,1,5,1,2,2,2,2,2,2,2,2,12,12,NA,none
NY New York,25,Male,4 year degree,9,3,3,2,3,3,3,3,2,2,2,2,2,2,3,3,3,2,2,2,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,4,4,2,2,2,2,2,2,2,2,10,10,10,good
IL Illinois,31,Female,High school graduate,5,6,3,2,3,1,1,1,2,2,2,1,4,2,4,2,3,4,4,4,1,1,0,0,0,0,0,1,2,2,3,1,5,1,1,5,1,1,1,1,3,3,1,1,2,11,11,NA,NA
NY New York,32,Male,4 year degree,1,1,1,5,1,3,2,3,1,2,2,2,4,3,5,5,2,3,2,4,1,1,0,0,0,0,0,1,3,2,3,2,3,1,2,4,2,1,1,1,3,3,3,3,2,11,11,NA,NA
VA Virginia,34,Female,Professional degree,5,3,2,4,2,2,2,2,3,2,2,3,3,3,4,4,4,1,1,3,0,1,1,0,0,0,0,1,2,2,3,2,4,2,2,4,2,3,3,3,5,5,3,3,3,11,11,NA,I have used green energy before and it was very expensive.
CA California,29,Male,Professional degree,10,2,2,3,2,1,2,2,2,2,1,2,2,2,NA,3,3,2,3,3,1,0,0,0,0,0,0,0,3,4,3,1,5,1,1,5,1,3,3,3,2,2,2,2,2,10,10,10,NA
PA Pennsylvania,36,Female,High school graduate,9,6,4,2,3,2,2,2,2,2,4,2,4,2,5,4,1,3,2,3,1,1,0,0,0,0,0,1,2,5,2,1,4,2,2,5,2,1,1,1,5,5,4,4,5,11,11,NA,NA
CA California,31,Male,Professional degree,8,2,1,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,1,0,0,0,0,0,0,0,3,3,3,1,5,1,1,5,1,4,3,2,1,1,2,2,2,10,10,10,NA
CA California,29,Male,Professional degree,9,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,1,2,1,0,0,0,0,0,0,0,4,4,4,1,5,1,1,5,1,2,1,1,1,2,3,2,1,10,11,NA,NA
